city,location,sqft,bhk,age,price,basePrice,locMultiplier
Bengaluru,Panathur,1438,2,5,100,12500,1
Bengaluru,Sunder Ram Shetty Nagar,1560,3,5,115,12500,1
Bengaluru,Yelahanka,1350,2,5,55.55,12500,1
Bengaluru,Kanakpura Road,1550,3,5,67,12500,1
Bengaluru,Malleshpalya,1140,2,5,46.5,12500,1
Bengaluru,Srirampura,1200,5,5,180,12500,1
Bengaluru,Kodathi,850,2,5,27,12500,1
Bengaluru,Whitefield,1280,2,5,75,12500,0.95
Bengaluru,Munnekollal,1170,2,5,52,12500,1
Bengaluru,Motappa Layout,1113,2,5,51,12500,1
Bengaluru,Hennur Road,1385,2,5,83.09,12500,1
Bengaluru,Electronic City,1128,2,5,65,12500,0.8
Bengaluru,Marathahalli,1200,2,5,128,12500,0.92
Bengaluru,Akshaya Vana,1200,4,5,165,12500,1
Bengaluru,Rajaji Nagar,2390,3,5,415,12500,1
Bengaluru,Giri Nagar,2400,4,5,400,12500,1
Bengaluru,Haralur Road,1464,3,5,56,12500,1
Bengaluru,Manayata Tech Park,1200,2,5,55,12500,1
Bengaluru,Kaval Byrasandra,1200,2,5,52,12500,1
Bengaluru,Kaggalipura,1150,3,5,55,12500,1
Bengaluru,Basavanna Nagar,1645,3,5,95,12500,1
Bengaluru,Sarjapur  Road,1000,2,5,67,12500,1
Bengaluru,Haralur Road,2650,4,5,198,12500,1
Bengaluru,6th Phase JP Nagar,1192,2,5,74,12500,1
Bengaluru,Ulsoor,2135,3,5,215,12500,1
Bengaluru,Whitefield,1173,2,5,58,12500,0.95
Bengaluru,Uttarahalli,1020,2,5,45,12500,1
Bengaluru,Thigalarapalya,3122,4,5,230,12500,1
Bengaluru,Somasundara Palya,1600,3,5,64,12500,1
Bengaluru,T.C PALYA,1200,2,5,79,12500,1
Bengaluru,Muneshwara Nagar,1230,2,5,48,12500,1
Bengaluru, Devarachikkanahalli,1250,2,5,40,12500,1
Bengaluru,Kalena Agrahara,1325,2,5,76,12500,1
Bengaluru,7th Phase JP Nagar,1850,3,5,150,12500,1
Bengaluru,Kanakpura Road,525,1,5,21.53,12500,1
Bengaluru,Basaveshwara Nagar,1200,2,5,65,12500,1
Bengaluru,Bull Temple Road,1350,3,5,140,12500,1
Bengaluru,Bommasandra,1260,3,5,49.36,12500,1
Bengaluru,Prashanth Nagar,1800,3,5,150,12500,1
Bengaluru,Suragajakkanahalli,11,3,5,74,12500,1
Bengaluru,Ardendale,1100,2,5,43.25,12500,1
Bengaluru,Harlur,1508,2,5,77,12500,1
Bengaluru,Sampigehalli,1592,3,5,75,12500,1
Bengaluru,Akshaya Nagar,1388,2,5,57,12500,1
Bengaluru,Electronic City Phase II,630,1,5,28.35,12500,1
Bengaluru,RMV,2000,3,5,365,12500,1
Bengaluru,Banashankari3rd stage bigbazar,1762,3,5,125,12500,1
Bengaluru,Bagalur Main Road,950,2,5,50,12500,1
Bengaluru,Kodihalli,3252,4,5,335,12500,1
Bengaluru,Magadi Road,1116,2,5,50,12500,1
Bengaluru,Narayanapura,1308,2,5,89.04,12500,1
Bengaluru,MS Pallya,1200,3,5,90,12500,1
Bengaluru,Binny Mills Employees Colony,1500,4,5,230,12500,1
Bengaluru,Bannerghatta Road,500,1,5,18.5,12500,1
Bengaluru,Hennur,1075,2,5,52,12500,1
Bengaluru,Chandapura,530,1,5,11.66,12500,1
Bengaluru,Bellandur,1205,2,5,66,12500,1
Bengaluru,5th Phase JP Nagar,1075,2,5,60,12500,1
Bengaluru,KR Puram,930,2,5,39,12500,1
Bengaluru,Balagere,1380,2,5,60,12500,1
Bengaluru,Hebbal,2483,4,5,212,12500,0.9
Bengaluru,Kodigehaali,1166,2,5,55,12500,1
Bengaluru,Bannerghatta Road,1050,2,5,65,12500,1
Bengaluru,Gopalapura,2023.71,3,5,275,12500,1
Bengaluru,Begur Road,1200,2,5,46.8,12500,1
Bengaluru,Lakshminarayana Pura,1600,3,5,108,12500,1
Bengaluru,Billekahalli,1935,3,5,110,12500,1
Bengaluru,8th Phase JP Nagar,451,1,5,29.9,12500,1
Bengaluru,Electronic City,1800,3,5,95,12500,0.8
Bengaluru,Jalahalli,1400,3,5,77,12500,1
Bengaluru,Hegde Nagar,1801,3,5,115,12500,1
Bengaluru,Mahadevpura,1451,2,5,90,12500,1
Bengaluru,Anekal,1200,2,5,36,12500,1
Bengaluru,Begur Road,1160,2,5,44,12500,1
Bengaluru,Kengeri,1000,2,5,25,12500,1
Bengaluru,Kanakpura Road,950,2,5,40,12500,1
Bengaluru,"Hoodi Circle, ",1629,3,5,79,12500,1
Bengaluru,Vijayanagar,1580,3,5,134,12500,1
Bengaluru,Vijayanagar,1826,3,5,121,12500,1
Bengaluru,7th Phase JP Nagar,1245,2,5,94,12500,1
Bengaluru,Raja Rajeshwari Nagar,1145,2,5,45.79,12500,1
Bengaluru,Sompura,825,2,5,33,12500,1
Bengaluru,Yeshwanthpur,1693,3,5,108,12500,1
Bengaluru,Electronics City Phase 1,1113.27,2,5,53,12500,1
Bengaluru,Ashirvad Colony,1460,2,5,58,12500,1
Bengaluru,Doddathoguru,1050,2,5,32,12500,1
Bengaluru,Dodda Nekkundi,1260,2,5,55,12500,1
Bengaluru,K N Extension,700,6,5,120,12500,1
Bengaluru,Hosur Road,1656,2,5,120,12500,1
Bengaluru,Chandapura,1208,3,5,45,12500,1
Bengaluru,Whitefield,1910,3,5,161,12500,0.95
Bengaluru,Whitefield,3252,4,5,230,12500,0.95
Bengaluru,Battarahalli,1200,2,5,65,12500,1
Bengaluru,Gokula Extension,1200,4,5,175,12500,1
Bengaluru,7th Phase JP Nagar,1175,2,5,82,12500,1
Bengaluru,Kamakshipalya,1000,2,5,165,12500,1
Bengaluru,Bannerghatta Road,1200,4,5,125,12500,1
Bengaluru,Rajaji Nagar,2390,3,5,410,12500,1
Bengaluru,Rajaji Nagar,12000,7,5,2200,12500,1
Bengaluru,Sultan Palaya,550,2,5,62,12500,1
Bengaluru,Sanne Amanikere,1185,2,5,38,12500,1
Bengaluru,Kengeri,750,2,5,38,12500,1
Bengaluru,Mahalakshmi Layout,1200,6,5,250,12500,1
Bengaluru,Kanakpura Road,1550,3,5,64.5,12500,1
Bengaluru,Amco Colony,1760,3,5,88,12500,1
Bengaluru,Billekahalli,1125,2,5,62,12500,1
Bengaluru,Nagarbhavi,1350,3,5,150,12500,1
Bengaluru,Anandapura,1000,2,5,55,12500,1
Bengaluru,Bommasandra Industrial Area,1090,2,5,31.48,12500,1
Bengaluru,TC Palaya,1200,2,5,60,12500,1
Bengaluru,Budigere,1991,3,5,103,12500,1
Bengaluru,Bommasandra,1060,2,5,26.5,12500,1
Bengaluru,Ambalipura,1105,2,5,75,12500,1
Bengaluru,Hoodi,985,2,5,67,12500,1
Bengaluru,Chandapura,1533,6,5,85,12500,1
Bengaluru,Balagere,1590,3,5,79,12500,1
Bengaluru,CV Raman Nagar,1120,2,5,55,12500,1
Bengaluru,Samethanahalli,1069,2,5,55,12500,1
Bengaluru,Marathahalli,1933,3,5,140,12500,0.92
Bengaluru,Hosur Road,1194,2,5,69,12500,1
Bengaluru,Brookefield,1150,2,5,69,12500,1
Bengaluru,Yelenahalli,1240,2,5,47.12,12500,1
Bengaluru,Raja Rajeshwari Nagar,1419,2,5,48.1,12500,1
Bengaluru,7th Phase JP Nagar,1200,8,5,250,12500,1
Bengaluru,Richmond Town,2150,3,5,240,12500,1
Bengaluru,Suddaguntepalya,1450,3,5,55,12500,1
Bengaluru,Udayapur Village,1630,3,5,68.29,12500,1
Bengaluru,Dasanapura,708,2,5,40,12500,1
Bengaluru,Kasavanhalli,1000,3,5,110,12500,1
Bengaluru,Whitefield,11890,4,5,700,12500,0.95
Bengaluru,Bellandur,1250,2,5,76,12500,1
Bengaluru,7th Phase JP Nagar,1400,3,5,95,12500,1
Bengaluru,Sarjapur  Road,1670,3,5,57,12500,1
Bengaluru,Ardendale,1750,3,5,100,12500,1
Bengaluru,Vittasandra,1404,2,5,71,12500,1
Bengaluru,Hoodi,1715,3,5,95,12500,1
Bengaluru,Electronic City,630,1,5,34.65,12500,0.8
Bengaluru,Harlur,1752.12,3,5,135,12500,1
Bengaluru,Hulimavu,1650,3,5,78,12500,1
Bengaluru,Raja Rajeshwari Nagar,1295,2,5,55.47,12500,1
Bengaluru,Giri Nagar,1800,3,5,252,12500,1
Bengaluru,Sarjapur  Road,1346,2,5,74.03,12500,1
Bengaluru,Thippasandra,1200,4,5,200,12500,1
Bengaluru,Hormavu,1150,2,5,55,12500,1
Bengaluru,Chikkabidarakallu,3309,4,5,325,12500,1
Bengaluru,Chandapura,1190,3,5,30.35,12500,1
Bengaluru,AECS Layout,1620,3,5,98,12500,1
Bengaluru,Marathahalli,950,2,5,46.96,12500,0.92
Bengaluru,1 Giri Nagar,5000,11,5,360,12500,1
Bengaluru,Harlur,2450,3,5,120,12500,1
Bengaluru,Electronic City Phase II,1220,3,5,35.23,12500,1
Bengaluru,Hoysalanagar,850,2,5,30,12500,1
Bengaluru,Padmanabhanagar,1020,2,5,63,12500,1
Bengaluru,Chikkalasandra,1100,2,5,50,12500,1
Bengaluru,Defence Colony,1150,2,5,126,12500,1
Bengaluru,Hebbal,1760,3,5,130,12500,0.9
Bengaluru,Ambalipura,1800,3,5,110,12500,1
Bengaluru,Akshaya Nagar,1070,2,5,54,12500,1
Bengaluru,2nd Stage Nagarbhavi,1500,4,5,220,12500,1
Bengaluru,Vidyaranyapura,1440,2,5,95,12500,1
Bengaluru,Amruthahalli,900,2,5,40,12500,1
Bengaluru,ITI Employees Layout,1200,4,5,230,12500,1
Bengaluru,Whitefield,1130,2,5,42.16,12500,0.95
Bengaluru,Koramangala,1320,2,5,165,12500,1.3
Bengaluru,Kodigehalli,1270,2,5,98,12500,1
Bengaluru,Patelappa Layout,1200,2,5,62,12500,1
Bengaluru,Ring Road Nagarbhavi,4800,4,5,235,12500,1
Bengaluru,NS Palya,1200,2,5,74,12500,1
Bengaluru,Subramanyapura,929,2,5,50.17,12500,1
Bengaluru,RMV 2nd Stage,1150,4,5,260,12500,1
Bengaluru,Basavangudi,1125,4,5,180,12500,1
Bengaluru,Kenchenahalli,500,5,5,65,12500,1
Bengaluru,3rd Block Hrbr Layout,1200,5,5,190,12500,1
Bengaluru,KUDLU MAIN ROAD,1464,3,5,56,12500,1
Bengaluru,7th Phase JP Nagar,3600,4,5,400,12500,1
Bengaluru,Bank Avenue,2000,4,5,99,12500,1
Bengaluru,Chikkalasandra,1208,2,5,49,12500,1
Bengaluru,Hebbal Kempapura,1130,2,5,60,12500,1
Bengaluru,Surabhi Layout,1753,3,5,120,12500,1
Bengaluru,Old Madras Road,4500,5,5,337,12500,1
Bengaluru,Banjara Layout,600,3,5,58,12500,1
Bengaluru,Hoodi,1196,2,5,94.42,12500,1
Bengaluru,5th Phase JP Nagar,1150,2,5,52.5,12500,1
Bengaluru,Electronic City,1128,2,5,63,12500,0.8
Bengaluru,Omkar Nagar,1000,2,5,53,12500,1
Bengaluru,Yelahanka,1035,2,5,45,12500,1
Bengaluru,Kereguddadahalli,950,2,5,32,12500,1
Bengaluru,Bisuvanahalli,1075,3,5,36,12500,1
Bengaluru,Whitefield,1040,2,5,48.5,12500,0.95
Bengaluru,Maragondanahalli,720,2,5,45,12500,1
Noida,Sector 44,500,1,6,10250000,14500,0.1
